,Home team name,Away team name,Outcome,Home score,Away score,Home rating,Away rating,Home odds,Draw odds,Away odds,Home xG,Away xG,Home possession,Away possession,Home lineups,Away lineups,Home Formation,Away formation
119,FC Koln,Augsburg,2,0,1,6.6,7.3,,,,,53%,,11,"['Horn', 'Mere', 'Bornauw', 'Czichos', 'Wolf', 'Ozcan', 'Skhiri', 'Rexhbecaj', 'Katterbach', 'Thielmann', 'Duda']","['Gikiewicz', 'Oxford', 'Gouweleeuw', 'Uduokhai', 'Iago', 'Caligiuri', 'Gruezo', 'Strobl', 'Vargas', 'Richter', 'Niederlechner']",3 - 5 - 2,4 - 4 - 2
120,Eintracht Frankfurt,Bayer Leverkusen,1,2,1,7.1,6.8,,,,,64%,,10,"['Trapp', 'Abraham', 'Hinteregger', 'Ndicka', 'Durm', 'Sow', 'Hasebe', 'Kostic', 'Kamada', 'Younes', 'Andre Silva']","['Hradecky', 'Dragovic', 'Tah', 'Tapsoba', 'Weiser', 'Wirtz', 'Baumgartlinger', 'Amiri', 'Bailey', 'Schick', 'Diaby']",3 - 4 - 2 - 1,4 - 1 - 2 - 3
121,Arminia Bielefeld,B. Monchengladbach,2,0,1,6.7,7.5,,,,45%,55%,7,22,"['Ortega', 'Brunner', 'Pieper', 'van der Hoorn', 'De Medina', 'Doan', 'Prietl', 'Hartel', 'Gebauer', 'Klos', 'Cordova']","['Sommer', 'Lainer', 'Ginter', 'Elvedi', 'Wendt', 'Kramer', 'Neuhaus', 'Herrmann', 'Stindl', 'Hofmann', 'Embolo']",4 - 4 - 2,4 - 2 - 3 - 1
122,Hertha Berlin,Schalke,1,3,0,7.5,6.4,,,,,38%,,10,"['Schwolow', 'Pekarik', 'Stark', 'Alderete', 'Plattenhardt', 'Guendouzi', 'Tousart', 'Darida', 'Lukebakio', 'Cordoba', 'Cunha']","['Fahrmann', 'Stambouli', 'Kabak', 'Nastasic', 'Oczipka', 'Schopf', 'Mascarell', 'Serdar', 'Harit', 'Hoppe', 'Uth']",4 - 3 - 3,4 - 4 - 2
123,Stuttgart,RB Leipzig,2,0,1,6.7,7.3,,,,,54%,10,22,"['Kobel', 'Stenzel', 'Anton', 'Kempf', 'Sosa', 'Castro', 'Endo', 'Mangala', 'Silas', 'Kalajdzic', 'Gonzalez']","['Gulacsi', 'Adams', 'Orban', 'Upamecano', 'Halstenberg', 'Olmo', 'Kampl', 'Sabitzer', 'Haidara', 'Forsberg', 'Angelino']",4 - 3 - 3,4 - 3 - 3
124,Dortmund,Wolfsburg,1,2,0,7.4,6.5,1.50,4.50,5.75,56%,44%,14,22,"['Burki', 'Meunier', 'Akanji', 'Hummels', 'Guerreiro', 'Witsel', 'Delaney', 'Sancho', 'Reus', 'Reyna', 'Haaland']","['Casteels', 'Baku', 'Brooks', 'Pongracic', 'Paulo Otavio', 'Gerhardt', 'Arnold', 'Brekalo', 'Schlager', 'Steffen', 'Weghorst']",4 - 2 - 3 - 1,4 - 2 - 3 - 1
125,Bayern Munich,Mainz,1,5,2,7.3,6.6,1.09,10.00,24.00,68%,32%,19,12,"['Neuer', 'Pavard', 'Boateng', 'Alaba', 'Davies', 'Tolisso', 'Kimmich', 'Sane', 'Muller', 'Gnabry', 'Lewandowski']","['Dahmen', 'Brosinski', 'St. Juste', 'Hack', 'Mwene', 'Fernandes', 'Barreiro', 'Latza', 'Boetius', 'Burkardt', 'Quaison']",4 - 2 - 3 - 1,4 - 1 - 2 - 1 - 2
126,B. Monchengladbach,Bayern Munich,1,3,2,7.2,6.5,,4.75,1.55,35%,65%,8,15,"['Sommer', 'Lainer', 'Ginter', 'Elvedi', 'Bensebaini', 'Zakaria', 'Kramer', 'Neuhaus', 'Embolo', 'Stindl', 'Hofmann']","['Neuer', 'Pavard', 'Sule', 'Alaba', 'Davies', 'Goretzka', 'Kimmich', 'Sane', 'Muller', 'Douglas Costa', 'Lewandowski']",4 - 3 - 3,4 - 2 - 3 - 1
127,Union Berlin,Wolfsburg,0,2,2,6.8,6.8,,,,,54%,13,11,"['Luthe', 'Friedrich', 'Knoche', 'Hubner', 'Trimmel', 'Griesbeck', 'Andrich', 'Ingvartsen', 'Lenz', 'Becker', 'Awoniyi']","['Casteels', 'Baku', 'Brooks', 'Pongracic', 'Paulo Otavio', 'Schlager', 'Arnold', 'Brekalo', 'Gerhardt', 'Steffen', 'Weghorst']",3 - 5 - 2,4 - 2 - 3 - 1
128,Schalke,Hoffenheim,1,4,0,7.6,6.4,,,,44%,56%,12,18,"['Fahrmann', 'Becker', 'Kabak', 'Nastasic', 'Kolasinac', 'Schopf', 'Stambouli', 'Serdar', 'Harit', 'Hoppe', 'Uth']","['Baumann', 'Bogarde', 'Vogt', 'Posch', 'Samassekou', 'Gacinovic', 'Baumgartner', 'Kramaric', 'John', 'Bebou', 'Belfodil']",4 - 4 - 2,3 - 1 - 4 - 2
129,Mainz,Eintracht Frankfurt,2,0,2,6.3,7.3,3.80,3.75,1.90,42%,58%,8,15,"['Zentner', 'Brosinski', 'St. Juste', 'Hack', 'Niakhate', 'Latza', 'Barreiro', 'Stoger', 'Quaison', 'Boetius', 'Burkardt']","['Trapp', 'Abraham', 'Hinteregger', 'Ndicka', 'Durm', 'Sow', 'Hasebe', 'Kostic', 'Kamada', 'Younes', 'Andre Silva']",4 - 2 - 3 - 1,3 - 4 - 2 - 1
130,Freiburg,FC Koln,1,5,0,7.6,6.0,1.95,3.60,3.60,50%,50%,12,5,"['Muller', 'Lienhart', 'Schlotterbeck', 'Gulde', 'Kubler', 'Santamaria', 'Hofler', 'Gunter', 'Sallai', 'Demirovic', 'Grifo']","['Horn', 'Schmitz', 'Mere', 'Bornauw', 'Hector', 'Ozcan', 'Skhiri', 'Wolf', 'Duda', 'Jakobs', 'Modeste']",3 - 4 - 3,4 - 2 - 3 - 1
131,Bayer Leverkusen,Werder Bremen,0,1,1,6.9,6.9,,,,,32%,,3,"['Hradecky', 'Dragovic', 'Tah', 'Tapsoba', 'Sinkgraven', 'Demirbay', 'Baumgartlinger', 'Amiri', 'Bailey', 'Schick', 'Diaby']","['Pavlenka', 'Gebre Selassie', 'Veljkovic', 'Toprak', 'Friedl', 'Augustinsson', 'Mbom', 'Eggestein', 'Mohwald', 'Sargent', 'Chong']",4 - 3 - 3,5 - 3 - 2
132,RB Leipzig,Dortmund,2,1,3,6.5,7.5,,,,,47%,12,15,"['Gulacsi', 'Orban', 'Upamecano', 'Halstenberg', 'Adams', 'Sabitzer', 'Haidara', 'Angelino', 'Olmo', 'Forsberg', 'Poulsen']","['Burki', 'Meunier', 'Akanji', 'Hummels', 'Guerreiro', 'Witsel', 'Delaney', 'Sancho', 'Reus', 'Reyna', 'Haaland']",3 - 4 - 2 - 1,4 - 2 - 3 - 1
