,Home team name,Away team name,Outcome,Home score,Away score,Home rating,Away rating,Home odds,Draw odds,Away odds,Home xG,Away xG,Home possession,Away possession,Home lineups,Away lineups,Home Formation,Away formation
366,Monaco,Brest,1,4,2,7.4,6.6,1.22,7.00,11.00,57%,43%,25,10,"['Nubel', 'Aguilar', 'Disasi', 'Badiashile', 'Caio Henrique', 'Fofana', 'Tchouameni', 'Vanderson', 'Volland', 'Golovin', 'Ben Yedder']","['Bizot', 'Pierre-Gabriel', 'Herelle', 'Brassier', 'Duverne', 'Magnetti', 'Agoume', 'Lasne', 'Cardona', 'Satriano', 'Belaili']",4 - 2 - 3 - 1,4 - 3 - 3
367,Metz,Angers,1,1,0,7.2,6.6,2.37,3.60,2.80,45%,55%,7,11,"['Caillard', 'Bronn', 'Kouyate', 'Niakate', 'Mikelbrencis', 'Sarr', 'Traore', 'Cande', 'Boulaya', 'de Preville', 'Lamkel Ze']","['Mandrea', 'Pereira Lage', 'Manceau', 'Traore', 'Thomas', 'Ebosse', 'Fulgini', 'Bentaleb', 'Mendy', 'Bahoken', 'Cho']",3 - 4 - 1 - 2,5 - 3 - 2
368,Lyon,Nantes,1,3,2,7.3,6.8,1.50,5.25,5.25,62%,38%,17,17,"['Lopes', 'Gusto', 'Da Silva', 'Lukeba', 'Henrique', 'Faivre', 'Ndombele', 'Paqueta', 'Tete', 'Dembele', 'Toko Ekambi']","['Lafont', 'Castelletto', 'Andrei Girotto', 'Appiah', 'Coco', 'Blas', 'Cyprien', 'Merlin', 'Fabio', 'Kolo Muani', 'Simon']",4 - 3 - 3,3 - 5 - 2
369,Bordeaux,Lorient,0,0,0,7.1,7.0,2.45,3.30,2.90,48%,52%,14,13,"['Poussin', 'Guilavogui', 'Marcelo', 'Ahmedhodzic', 'Kwateng', 'Ignatenko', 'Fransergio', 'Mangas', 'Dilrosun', 'Mara', 'Hwang']","['Dreyer', 'Mendes', 'Laporte', 'Morel', 'Le Goff', 'Le Fee', 'Lemoine', 'Abergel', 'Ouattara', 'Moffi', 'Lauriente']",3 - 4 - 1 - 2,4 - 3 - 3
370,Paris FC,Sochaux,2,1,2,6.1,6.9,2.70,3.00,2.80,43%,57%,6,10,"['Demarconnay', 'Bamba', 'Chergui', 'Camara', 'Hanin', 'Siby', 'Name', 'Alfarela', 'Iglesias', 'Gory', 'Guilavogui']","['Prevot', 'Henry', 'Aaneba', 'Diedhiou', 'Ndour', 'Lopy', 'Ndiaye', 'Mauricio', 'Weissbeck', 'Ambri', 'Kalulu']",4 - 3 - 3,4 - 2 - 3 - 1
371,Auxerre,Sochaux,1,1,0,7.3,6.8,2.20,3.10,3.25,61%,39%,22,7,"['Leon', 'Arcus', 'Jubal', 'Coeff', 'Bernard', 'Toure', 'Sinayoko', 'Sakhi', 'Hein', 'Autret', 'Charbonnier']","['Prevot', 'Henry', 'Aaneba', 'Pogba', 'Ndour', 'Lopy', 'Thioune', 'Mauricio', 'Weissbeck', 'Do Couto', 'Kalulu']",4 - 1 - 4 - 1,4 - 2 - 3 - 1
372,Reims,Nice,2,2,3,6.7,7.1,3.80,3.80,1.90,45%,55%,5,17,"['Rajkovic', 'Busi', 'Faes', 'Abdelhamid', 'Foket', 'Munetsi', 'Matusiwa', 'Lopy', 'Doumbia', 'Toure', 'Ekitike']","['Benitez', 'Daniliuc', 'Todibo', 'Dante', 'Bard', 'Boudaoui', 'Rosario', 'Thuram', 'Kluivert', 'Gouiri', 'Delort']",3 - 5 - 2,4 - 4 - 2
373,PSG,Metz,1,5,0,7.8,6.0,1.11,11.00,15.00,75%,25%,27,4,"['Navas', 'Hakimi', 'Marquinhos', 'Ramos', 'Kimpembe', 'Verratti', 'Pereira', 'Di Maria', 'Messi', 'Neymar', 'Mbappe']","['Caillard', 'Mikelbrencis', 'Bronn', 'Kouyate', 'Kana-Biyik', 'Cande', 'Sarr', 'Pajot', 'Traore', 'Boulaya', 'Lamkel Ze']",4 - 2 - 3 - 1,5 - 4 - 1
374,Nantes,St Etienne,0,1,1,7.1,6.9,2.40,3.75,2.75,53%,47%,12,13,"['Lafont', 'Castelletto', 'Andrei Girotto', 'Pallois', 'Coco', 'Cyprien', 'Moutoussamy', 'Merlin', 'Blas', 'Kolo Muani', 'Coulibaly']","['Bernardoni', 'Sacko', 'Mangala', 'Nade', 'Thioub', 'Youssouf', 'Camara', 'Trauco', 'Aouchiche', 'Khazri', 'Bouanga']",3 - 4 - 2 - 1,3 - 4 - 1 - 2
375,Marseille,Strasbourg,1,4,0,7.5,6.2,,,3.50,61%,39%,17,10,"['Mandanda', 'Caleta-Car', 'Kamara', 'Luan Peres', 'Rongier', 'Gueye', 'Harit', 'Guendouzi', 'Gerson', 'Under', 'Milik']","['Sels', 'Guilbert', 'Perrin', 'Nyamsi', 'Djiku', 'Caci', 'Thomasson', 'Prcic', 'Aholou', 'Ajorque', 'Gameiro']",3 - 2 - 4 - 1,5 - 3 - 2
376,Lorient,Troyes,0,1,1,7.0,7.1,2.20,3.60,3.10,58%,42%,17,8,"['Dreyer', 'Igor Silva', 'Jenz', 'Morel', 'Le Goff', 'Monconduit', 'Lemoine', 'Abergel', 'Moffi', 'Kone', 'Le Fee']","['Moulin', 'Kabore', 'Biancone', 'Palmer-Brown', 'Salmier', 'Conte', 'Ripart', 'Kouame', 'Tardieu', 'Chavalerin', 'Touzghar']",4 - 3 - 3,5 - 4 - 1
377,Lille,Rennes,0,2,2,6.9,6.9,,,,,,,,"['Leo Jardim', 'Celik', 'Fonte', 'Botman', 'Djalo', 'Weah', 'Andre', 'Sanches', 'Bamba', 'David', 'Yilmaz']","['Gomis', 'Traore', 'Omari', 'Aguerd', 'Truffert', 'Majer', 'Santamaria', 'Tait', 'Bourigeaud', 'Laborde', 'Terrier']",4 - 4 - 2,4 - 3 - 3
378,Lens,Monaco,0,2,2,7.3,7.0,3.10,4.00,2.10,60%,40%,28,12,"['Farinez', 'Gradit', 'Danso', 'Medina', 'Clauss', 'Doucoure', 'Fofana', 'Frankowski', 'Pereira da Costa', 'Sotoca', 'Kalimuendo']","['Nubel', 'Aguilar', 'Disasi', 'Badiashile', 'Caio Henrique', 'Fofana', 'Tchouameni', 'Vanderson', 'Volland', 'Golovin', 'Ben Yedder']",3 - 4 - 2 - 1,4 - 2 - 3 - 1
