,Home team name,Away team name,Outcome,Home score,Away score,Home rating,Away rating,Home odds,Draw odds,Away odds,Home xG,Away xG,Home possession,Away possession,Home lineups,Away lineups,Home Formation,Away formation
34,Leicester,Manchester City,2,0,1,6.7,7.1,5.25,4.00,1.61,39%,61%,6,25,"['Schmeichel', 'Castagne', 'Soyuncu', 'Vestergaard', 'Bertrand', 'Tielemans', 'Ndidi', 'Albrighton', 'Maddison', 'Barnes', 'Vardy']","['Ederson', 'Walker', 'Dias', 'Laporte', 'Cancelo', 'Gundogan', 'Rodri', 'Silva', 'Gabriel Jesus', 'Torres', 'Grealish']",4 - 2 - 3 - 1,4 - 3 - 3
35,Brentford,Brighton,2,0,1,6.6,7.1,3.10,3.00,2.55,41%,59%,7,4,"['Raya', 'Ajer', 'Jansson', 'Pinnock', 'Canos', 'Baptiste', 'Norgaard', 'Janelt', 'Henry', 'Mbeumo', 'Toney']","['Sanchez', 'Webster', 'Duffy', 'Dunk', 'Veltman', 'Lallana', 'Bissouma', 'Cucurella', 'Trossard', 'Maupay', 'Welbeck']",3 - 5 - 2,3 - 4 - 1 - 2
36,Arsenal,Norwich,1,1,0,7.5,6.8,1.36,5.00,8.00,52%,48%,30,10,"['Ramsdale', 'Tomiyasu', 'White', 'Gabriel', 'Tierney', 'Lokonga', 'Maitland-Niles', 'Pepe', 'Odegaard', 'Saka', 'Aubameyang']","['Krul', 'Aarons', 'Omobamidele', 'Hanley', 'Williams', 'Lees-Melou', 'Rupp', 'McLean', 'Dowell', 'Pukki', 'Tzolis']",4 - 2 - 3 - 1,4 - 3 - 3
37,Chelsea,Aston Villa,1,3,0,7.6,6.4,,,,,,,,"['Mendy', 'Chalobah', 'Silva', 'Rudiger', 'Hudson-Odoi', 'Kovacic', 'Niguez', 'Alonso', 'Ziyech', 'Havertz', 'Lukaku']","['Steer', 'Cash', 'Konsa', 'Tuanzebe', 'Mings', 'Targett', 'Ramsey', 'Douglas Luiz', 'McGinn', 'Ings', 'Watkins']",3 - 4 - 2 - 1,5 - 3 - 2
38,Leeds,Liverpool,2,0,3,6.5,7.6,4.50,4.33,1.66,44%,56%,9,30,"['Meslier', 'Ayling', 'Llorente', 'Cooper', 'Firpo', 'Phillips', 'Raphinha', 'Dallas', 'Rodrigo', 'Harrison', 'Bamford']","['Alisson', 'Alexander-Arnold', 'Matip', 'van Dijk', 'Robertson', 'Elliott', 'Fabinho', 'Thiago', 'Salah', 'Diogo Jota', 'Mane']",4 - 1 - 4 - 1,4 - 3 - 3
39,Everton,Burnley,1,3,1,7.5,6.5,1.75,3.50,5.25,52%,48%,14,11,"['Pickford', 'Mina', 'Keane', 'Godfrey', 'Coleman', 'Doucoure', 'Allan', 'Digne', 'Townsend', 'Richarlison', 'Gray']","['Pope', 'Lowton', 'Tarkowski', 'Mee', 'Taylor', 'Gudmundsson', 'Westwood', 'Brownhill', 'McNeil', 'Wood', 'Barnes']",3 - 4 - 3,4 - 4 - 2
40,Newcastle,Leeds,0,1,1,7.2,7.4,3.10,3.60,2.20,35%,65%,17,22,"['Darlow', 'Manquillo', 'Hayden', 'Lascelles', 'Clark', 'Ritchie', 'Almiron', 'Willock', 'Longstaff', 'Joelinton', 'Saint-Maximin']","['Meslier', 'Dallas', 'Ayling', 'Cooper', 'Firpo', 'Phillips', 'Raphinha', 'Rodrigo', 'Klich', 'James', 'Bamford']",5 - 4 - 1,4 - 1 - 4 - 1
41,Wolves,Brentford,2,0,2,6.2,7.0,1.80,3.25,5.00,62%,38%,11,9,"['Sa', 'Kilman', 'Coady', 'Saiss', 'Semedo', 'Neves', 'Moutinho', 'Marcal', 'Trincao', 'Jimenez', 'Traore']","['Raya', 'Ajer', 'Jansson', 'Pinnock', 'Canos', 'Baptiste', 'Norgaard', 'Janelt', 'Henry', 'Mbeumo', 'Toney']",3 - 4 - 3,3 - 5 - 2
42,Norwich,Watford,2,1,3,6.7,7.3,2.25,3.30,3.30,49%,51%,12,12,"['Krul', 'Aarons', 'Kabak', 'Hanley', 'Williams', 'Gilmour', 'Normann', 'McLean', 'Sargent', 'Pukki', 'Rashica']","['Foster', 'Kiko Femenia', 'Troost-Ekong', 'Cathcart', 'Rose', 'Kucka', 'Sissoko', 'Sarr', 'Cleverley', 'Dennis', 'King']",4 - 3 - 3,4 - 2 - 3 - 1
43,Manchester City,Southampton,0,0,0,7.2,7.1,1.14,8.00,17.00,64%,36%,16,10,"['Ederson', 'Walker', 'Dias', 'Ake', 'Cancelo', 'Gundogan', 'Fernandinho', 'Silva', 'Gabriel Jesus', 'Sterling', 'Grealish']","['McCarthy', 'Livramento', 'Stephens', 'Bednarek', 'Walker-Peters', 'Romeu', 'Elyounoussi', 'Ward-Prowse', 'Adams', 'Redmond', 'Armstrong']",4 - 3 - 3,4 - 1 - 4 - 1
